age,browser,city,date,device,gender,item,language,navigation,os,pageviewtime,region,role,user
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",267.725,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",23.12,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"18","Chrome","Ottawa","20200801","WindowsPC","female","COVID-19","english","topics","Windows","","Ontario","patient","e5612fb0-1c9d-4b63-94f0-86a4bfa033d9"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",3.759,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",3.887,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",8.151,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",4.68,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",2.022,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",10.911,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",9.509,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"18","Chrome","Ottawa","20200801","WindowsPC","female","Covid-19","english","body","Windows",519.051,"Ontario","patient","e5612fb0-1c9d-4b63-94f0-86a4bfa033d9"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",2318.089,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows","","Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",77.314,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",33.277,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","Covid-19","english","body","Windows",9.981,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",88.062,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"18","Chrome","Ottawa","20200801","WindowsPC","female","COVID-19","english","topics","Windows","","Ontario","patient","e5612fb0-1c9d-4b63-94f0-86a4bfa033d9"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.899,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",11.766,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.83,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.841,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.427,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",1.56,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
"80","Chrome","Ottawa","20200801","WindowsPC","transgender","COVID-19","english","topics","Windows",0.896,"Ontario","patient","9b3bc1d6-a95b-4885-953e-585d1a639e58"
