agerange,age,browser,category,device,gender,language,latitude,longitude,nav,os,role,city,region,user,pageviewtime,date,item,navigation
Middle,55,Chrome,,AndroidPhone,female,english,,,,AndroidOS,patient,Ottawa,Ontario,,47.711,20200316,Heart disease,topics
Middle,55,Chrome,,AndroidPhone,female,english,,,,AndroidOS,patient,Ottawa,Ontario,,2.444,20200316,Pancreas,body
Middle,55,Chrome,,AndroidPhone,female,english,,,,AndroidOS,patient,Ottawa,Ontario,,153.3056487,20200316,Liver,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,2000872518,2.688,20200317,Troubles de la m̩moire,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,2000872518,2.246,20200317,Examen physique,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,2000872518,153.3056487,20200317,Exposition au soleil,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,110465759.2,2.042,20200322,Exposition au soleil,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,110465759.2,2.123,20200322,Troubles de la m̩moire,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,110465759.2,2.108,20200322,Activit̩ physique,body
Young,45,Chrome,,WindowsPC,male,french,,,,Windows,patient,Ottawa,Ontario,110465759.2,153.3056487,20200322,Examen physique,body
Young,45,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,110465759.2,4.305,20200330,Eyes,body
Young,45,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,110465759.2,17.883,20200330,Sexual Organs,body
Young,45,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,110465759.2,4.604,20200330,Sun Exposure,body
Young,45,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,110465759.2,2.917,20200330,Heart,body
Young,45,Chrome,,WindowsPC,male,english,,,,Windows,patient,Ottawa,Ontario,110465759.2,153.3056487,20200330,Lungs,body
Young,23,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,6.995,20200411,Lungs,body
Young,23,Chrome,,WindowsPC,female,english,,,,Windows,patient,Ottawa,Ontario,,153.3056487,20200411,Eyes,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,9.799,20200419,Memory Problems,body
Middle,55,Chrome,,WindowsPC,female,english,,,,Windows,provider,Ottawa,Ontario,,179.944,20200419,Physical Exam,body
